,person
1223,gamawan fauzi
1224,deddy mizwar
1225,ahmad heryawan
1226,gamawan
1227,deddy
1228,deddy
1229,gamawan
1230,deddy
1231,anas urbaningrum
1232,anas
1233,anas
1234,anas
1235,joko widodo-jusuf kalla
1236,yuddy chrisnandi
1237,pak jokowi
1238,jk
1239,yuddy
1240,yuddy
1241,pak wiranto
1242,wiranto
1243,joko widodo-jusuf kalla
1244,megawati soekarnoputri
1245,wiranto
1246,jokowi-jk
1247,tantowi yahya
1248,soeharto
1249,tantowi
1250,tantowi
1251,tantowi
1252,akbar faisal
1253,ar
1254,akbar
1255,akbar faisal
1256,amir syamsuddin
1257,amir
1258,amir
1259,ar
1260,akbar
1261,ar
1262,jusuf kalla
1263,aburizal bakrie
1264,freddy latumahina
1265,freddy
1266,jusuf kalla
1267,kalla
1268,kalla
1269,aburizal
1270,freddy
1271,amir syamsudin
1272,amir
1273,amir
1274,amir
1275,amir
1276,amir
1277,amir
1278,e.e.mangindaan
1279,roy suryo
1280,jero wacik
1281,syarief hasan
1282,edy prabowo
1283,edy
1284,edy
1285,edy
1286,hasrul azwar
1287,gamawan fauzi
1288,sri sultan hamengku buwono x
1289,susilo bambang yudhoyono (sby)
1290,sultan
1291,pak sultan
1292,mendagri
1293,mendagri
1294,mendagri
1295,mendagri
1296,mendagri
1297,mendagri
1298,zaenal bintang
1299,aburizal bakrie (ical)
1300,zaenal
1301,joko widodo (jokowi)
1302,jokowi
1303,zaenal
1304,jokowi
1305,zaenal
1306,ical
1307,jokowi
1308,yorrys raweyai
1309,priyo budi santoso
1310,yorrys
1311,ical
1312,priyo
1313,susilo bambang yudhoyono
1314,presiden
1315,presiden
1316,yudhoyono
1317,jusuf kalla
1318,chandra hamzah
1319,haryono umar
1320,bibit samad riyanto
1321,m jasin
1322,harifin a tumpa
1323,ambang hendarso danuri
1324,anwar nasution
1325,didi widayadi
1326,widodo as
1327,andi matalata
1328,hatta rajasa
1329,sudi silalahi
1330,prabowo subianto
1331,hasyim djojohadikusumo
1332,sri mulyani
1333,hasyim
1334,sri mulyani
1335,bu sri mulyani
1336,hasyim
1337,hasyim
1338,prabowo subianto
1339,sri mulyani
1340,sri mulyani
1341,sri mulyani
1342,jusuf kalla
1343,kalla
1344,jk
1345,bambang widjojanto
1346,bambang
1347,joko widodo
1348,anas urbaningrum
1349,pong hardjatmo
1350,pong
1351,pak pong
1352,anas
1353,pong
1354,pong
1355,priyo budi santoso
1356,priyo
1357,agung laksono
1358,susilo bambang yudhoyono (sby)
1359,aburizal bakrie (ical)
1360,agung
1361,agung
1362,agung
1363,agung
1364,jusuf kalla
1365,jk
1366,jk
1367,jk
1368,surya paloh
1369,ical
1370,jk
1371,ical
1372,surya dharma ali (sda)
1373,presiden sby
1374,lukman hakim syaifuddin
1375,lukman
1376,surya dharma ali
1377,lukman
1378,lukman
1379,surya dharma ali
1380,lukman
1381,surya dharma ali
1382,maruarar siahaan
1383,maruarar
1384,maruarar
1385,maruarar
1386,maruarar
1387,m romahurmuziy
1388,romy
1389,romy
1390,sutiyoso
1391,sutiyoso
1392,sutiyoso
1393,sutiyoso
1394,sutiyoso
1395,sutiyoso
1396,sutiyoso
1397,sutiyoso
1398,jokowi
1399,sutiyoso
1400,arbi sanit
1401,arbi
1402,arbi
1403,megawati soekarnoputri
1404,puan maharani
1405,megawati
1406,soekarno
1407,arbi
1408,susilo bambang yudhoyono (sby) 
1409,sby
1410,martin hutabarat
1411,martin
1412,martin
1413,martin
1414,susilo bambang yudhoyono
1415,yenny wahid
1416,jafar hafsah
1417,m nazaruddin
1418,jafar
1419,nazaruddin
1420,jafar
1421,nazaruddin
1422,jafar
1423,nazaruddin
1424,jafar
1425,nazaruddin
1426,sutan bhatoegana
1427,nazaruddin
1428,wafid muharram
1429,mahfud md
1430,susilo bambang yudhoyono
1431,janedjri gaffar
1432,nazaruddin
1433,megawati soekarnoputri
1434,m nazaruddin
1435,megawati
1436,megawati
1437,megawati
1438,m nazaruddin
1439,nazaruddin
1440,susilo bambang yudhoyono
1441,marzuki alie
1442,anas urbaningrum
1443,anas
1444,marzuki
1445,marzuki
1446,anas
1447,marzuki
1448,marzuki
1449,muhammad nazaruddin
1450,anas
1451,johan budi s.p
1452,johan
1453,bibit s rianto
1454,chandra m hamzah
1455,bibit
1456,chandra
1457,chandra
1458,bibit
1459,bibit
1460,mahfudz siddiq
1461,dipo alam 
1462,romo frans magniz suseno
1463,mahfudz
1464,sby
1465,dipo
1466,mahfudz
1467,mahfudz
1468,dipo
1469,dipo
1470,sby
1471,mahfudz
1472,dipo
1473,romo frans magnis suseno
1474,sby
1475,leonardy harmainy
1476,leonardy
1477,jusuf kalla
1478,akbar tandjung
1479,akbar
1480,aburizal
1481,akbar
1482,aburizal bakrie
1483,akbar
1484,aburizal
1485,aburizal
1486,aburizal bakrie
1487,partai golkar
1488,tedjo edy purdijatno
1489,tedjo
1490,ruhut sitompul
1491,ruhut
1492,pak sby
1493,anas urbaningrum
1494,mengatakan
1495,sby
