,location
440,masjid sunda kelapa
441,menteng
442,jakarta pusat
443,hanung budya
444,gedung dpr-ri
445,israel
446,gaza
447,israel
448,gaza
449,israel
450,gaza city
451,palestina
452,gaza
453,israel
454,israel
455,israel
456,gaza
457,palestina
458,israel
459,israel
460,gaza palestina
461,palestina
462,gaza
463,arab
464,indonesia
465,indonesia
466,gaza
467,palestina
468,gaza
469,indonesia
470,gaza
471,indonesia
472,indonesia
473,arab
474,israel
475,gaza
476,israel
477,gaza
478,palestina
479,indonesia
480,gedung dpr-ri
481,indonesia
482,gedung dpr/mpr
483,jakarta
484,rumah potong hewan ( rph ) giwangan yogyakarta
485,amerika serikat
486,indonesia
487,indonesia
488,jakarta
489,indonesia
490,jepang
491,jepang
492,indonesia
493,jepang
494,jepang
495,jalan pegangsaan timur nomor 56
496,cikini
497,jakarta
498,jalan imam bonjol nomor 1
499,jakarta
500,indonesia
501,indonesia
502,jepang
503,jepang
504,jepang
505,jepang
506,indonesia
507,indonesia
508,jepang
509,indonesia
510,jakarta
511,surabaya
512,indonesia
513,indonesia
514,jalan hayam wuruk nomor 30
515,jakarta
516,kawangkoan
517,minahasa
518,sulawesi utara
519,belanda
520,jakarta
521,mojokerto
522,hotel oranje
523,surabaya
524,jogja
525,indonesia
526,minahasa
527,belanda
528,surabaya
529,rs sumber waras jakarta
530,taman makan pahlawan kalibata
531,indonesia
532,minahasa
533,kelurahan talikuran
534,kecamatan kawangkoan utara
535,kabupaten minahasa
536,sulawesi utara
537,hawaii
538,amerika
539,kauai
540,hawaii
541,hawaii
542,hawaii
543,amazon
544,hawaii
545,hawaii
546,pulau maui
547,pulau moloka`i
548,hawaii
549,london
550,eropa
551,eropa
552,london
553,paris
554,polandia
555,budapest
556,praha
557,dublin
558,london
559,budapest
560,warsawa
561,london
562,roma
563,wina
564,amsterdam
565,eropa
566,madrid
567,complutense
568,korea utara
569,korea selatan
570,tiongkok
571,madrid
572,berlin
573,madrid
574,spanyol
575,berlin
576,jerman
577,eropa
578,jerman
579,kongo
580,kongo
581,provinsi equateur
582,afrika barat
583,kongo
584,afrika barat
585,afrika barat
586,inggris
587,sierra leone
588,inggris
589,inggris
590,afrika barat
591,afrika
592,afrika
593,liberia
594,afrika
595,liberia
596,guinea
597,sierra leone afrika
598,indonesia
599,afrika
600,indonesia
601,afrika barat
602,indonesia
603,indonesia
604,liberia
605,guinea
606,sierra leone
607,sangatta
608,kutai timur
609,kalimantan timur
610,teluk lingga
611,kuba
612,kutai timur
613,balikpapan
614,balikpapan
615,sepinggan
616,balikpapan
617,indonesia
618,kalimantan timur
619,indonesia
620,indonesia
621,indonesia
622,balikpapan
623,jakarta
624,indonesia
625,indonesia
626,jakarta
627,indonesia
628,jakarta
629,hotel santika
630,jalan ks tubun
631,slipi
632,jakarta barat
633,jakarta
634,hotel santika
635,plaza centris
636,hr rasuna said
637,kuningan
638,jakarta selatan
639,gedung nusantara iv ( pusataka loka )
640,jalan merdeka barat no 7
641,jakarta pusat
642,jalan merdeka barat no 6
643,indonesia
644,tiongkok
645,mongolia
646,tiongkok
647,indonesia
648,tiongkok
649,indonesia
650,tiongkok
651,indonesia
652,indonesia
653,asean
654,tiongkok
655,jakarta
656,indonesia
657,tiongkok
658,tiongkok
659,denpasar
660,jakarta
661,tiongkok
662,indonesia
663,tiongkok
664,indonesia
665,indonesia
666,bali
667,tiongkok
668,bali
669,tiongkok
670,singapura
671,malaysia
672,thailand
673,vietnam
674,kamboja
675,tiongkok
676,thailand
677,indonesia
678,tiongkok
679,indonesia
680,tiongkok
681,tiongkok
682,indonesia
683,pulau bangka
684,los angeles
685,selat sunda
686,rusia
687,indonesia
688,bandung
689,belanda
690,polandia
691,medan
692,tokyo
693,bulan
694,universitas harvard
695,indonesia
696,europa
697,negara-negara berkembang
698,belanda
699,kutub utara
700,formasi tambach
701,jerman
702,lebanon
703,damaskus
704,kairo
705,suriah
706,lebanon
707,lebanon
708,suriah
709,suriah
710,perancis
711,suriah
712,lebanon
713,arab saudi
714,lebanon
715,suriah
716,suriah
717,suriah
718,washington
719,damaskus
720,irak
721,as
722,irak
723,suriah
724,suriah
725,timur tengah
726,rwanda
727,darfur
728,sudan
729,rwanda
730,afrika
731,darfur
732,rwanda
733,darfur
734,darfur
735,arab
736,sudan
737,sudan
738,afrika
739,inggris
740,iran
741,inggris
742,inggris
743,inggris
744,selat shat al-arab
745,iran
746,inggris
747,irak
748,amerika serikat
749,irak
750,irak
751,as
752,as
753,baghdad
754,jordan
755,amerika serikat
756,jordania
757,irak
758,iran
759,timur tengah
760,jordania
761,irak
762,israel
763,arab
764,jordania
765,israel
766,amman
767,israel
768,palestina
769,israel
770,palestina
771,jerusalem
772,israel
773,palestina
774,jordan
775,mesir
776,israel
777,as
778,washington
779,jordania
780,mesir
781,irak
782,washington
783,iran
784,irak
785,as
786,eropa
787,garches
788,perancis
789,sudan
790,darfur
791,nigeria
792,as
793,new mexico as
794,wilayah barat sudan
795,as
796,darfur
797,abuja
798,darfur
799,khartoum
800,darfur
801,darfur
802,toledo
803,tucson
804,topeka
805,as
806,uganda
807,gereja inggris
808,canterbury
809,korea selatan
810,hong kong
811,inggris
812,rusia
813,jepang
814,afrika selatan
815,indonesia
816,korea
817,selatan
818,inggris
819,inggris
820,hong
821,inggris
822,inggris
823,inggris timur
824,eropa
825,spanyol
826,mauritania
827,mauritania
828,las
829,palmas
830,kepulauan canary
831,spanyol
832,paris
833,las palmas
834,nouakchott
835,afrika
836,nouadhibou
837,inggris
838,amerika serikat
839,london
840,machipisa
841,highfield
842,lapangan zimbabwe
843,zimbabwe
844,afrika selatan
845,zimbabwe
846,bulawayo
847,iran
848,pakistan
849,sistan-baluchestan
850,iran
851,as
852,pakistan
853,pakistan
854,pakistan
855,quetta
856,sistan
857,baluchestan
858,pakistan
859,afghanistan
860,zahedan
861,sistan
862,baluchestan
863,iran
864,kurdi
865,azerbaijan barat
866,turki
867,iran
868,australia
869,minneapolis
870,amerika serikat
871,inggris
872,zimbabwe
873,zimbabwe
874,inggris
875,amerika serikat
876,inggris
877,ternhill
878,pasar drayton
879,shropshire
880,australia
881,australia
882,somalia
883,ethiopia
884,amerika serikat
885,afrika timur
886,as
887,kenya
888,tanzania
889,somalia
890,kenya
891,somalia
892,amerika serikat
893,as
894,new york
895,rusia
896,china
897,amerika serikat
898,irak
899,libanon
900,jayapura
901,lhokseumawe
902,sibolga
903,indonesia
904,indonesia
905,indonesia
906,jakarta
907,jakarta
908,mars
909,amerika serikat
910,indonesia
911,pekanbaru
912,jakarta
913,yogyakarta
914,surabaya
915,indonesia
916,china
917,indonesia
918,china
919,indonesia
920,indonesia
921,teheran
922,indonesia
923,jepang
924,aquamarine fukushima
925,sudirman
926,jakarta
927,india
928,delhi
929,indonesia
930,afrika
931,india
932,malaysia
933,bernama
934,malaysia
935,jakarta
936,indonesia
937,china
938,indonesia
939,indonesia
940,china
941,boediono
942,gedung utama departemen keuangan jakarta
943,australia
944,amerika
945,serikat
946,wilayah sumatera selatan
947,wilayah jabotabek
948,new mexico
949,arizona
950,wyoming
951,colorado
952,texas
953,new york
954,new york
955,antor transisi joko widodo-jusuf kalla
956,"jalan situbondo nomor 10, menteng, jakarta pusat"
957,"dpr, jakarta"
958,"kompleks parlemen senayan, jakarta"
959,pn jakarta selatan
960,lobi nusantara ii gedung mpr/dpr/dpd ri
961,"komisi pertahanan, jakarta"
962,kompleks istana negara
963,"gedung kpk, jakarta,"
964,"rumah tahanan guntur, jakarta selatan"
965,kementerian esdm
966,"gedung kompleks parlemen senayan, jakarta"
967,sulawesi selatan
968,sulawesi barat
969,sulawesi tenggara
970,sulawesi selatan (sulsel)
971,"gedung pusat perfilman usmar ismail, jakarta"
972,"gedung dpd, jakarta"
973,istana negara
974,"prj kemayoran, jakarta"
975,"kediaman megawati soekarnoputri, jakarta"
976,"tenis indoor gelora bung karno senayan, jakarta"
977,sulawesi selatan
978,"bogor, jawa barat"
979,sulawesi tenggara
980,kompleks parlemen
981,istana negara jakarta
982,"cikini, jakarta pusat"
983,kantor presiden
984,pulau dua senayan
985,keraton yogyakarta
986,asia tenggara
987,malaysia
988,brunei darussalam
989,filipina
990,"gedung kura-kura, kompleks parlemen, senayan, jakarta"
991,kompleks istana kepresidenan jakarta
992,"kantor dpp nasdem, jakarta pusat"
993,istana merdeka
994,"gedung dpr, jakarta"
995,wisma negara
996,yogyakarta
997,"balaikota, jalan medan merdeka selatan"
998,bali
999,bali
1000,istana negara
1001,singapura
1002,"gedung dpr, jakarta"
1003,singapura
1004,indonesia
1005,indonesia
1006,"palangkaraya, kalimantan tengah"
1007,"hambalang, bogor, jawa barat"
1008,kuningan
1009,gedung kpk
1010,"hotel bidarakarya, jakarta"
1011,amerika
1012,bali
1013,bali
1014,"bakrie tower, jakarta"
1015,kantor dpp partai golkar jakarta
1016,lapangan parkir dpp golkar
1017,bali
1018,pulau dewata
1019,edung dpr jakarta
